DATE,VANDALISM,VERBAL DISPUTE
1/1/2020,10,6
1/2/2020,10,5
1/3/2020,5,2
1/4/2020,10,3
1/5/2020,7,1
1/6/2020,4,4
1/7/2020,8,3
1/8/2020,5,0
1/9/2020,3,0
1/10/2020,9,5
1/11/2020,8,3
1/12/2020,12,6
1/13/2020,9,2
1/14/2020,3,5
1/15/2020,6,3
1/16/2020,8,1
1/17/2020,9,1
1/18/2020,7,3
1/19/2020,8,2
1/20/2020,6,3
1/21/2020,9,6
1/22/2020,6,2
1/23/2020,8,1
1/24/2020,3,6
1/25/2020,9,3
1/26/2020,12,1
1/27/2020,8,6
1/28/2020,5,2
1/29/2020,6,5
1/30/2020,4,1
1/31/2020,6,2
2/1/2020,6,2
2/2/2020,6,6
2/3/2020,8,4
2/4/2020,8,2
2/5/2020,5,5
2/6/2020,6,4
2/7/2020,8,1
2/8/2020,9,6
2/9/2020,4,2
2/10/2020,5,1
2/11/2020,8,1
2/12/2020,6,6
2/13/2020,5,4
2/14/2020,12,3
2/15/2020,10,1
2/16/2020,3,0
2/17/2020,7,5
2/18/2020,7,3
2/19/2020,10,3
2/20/2020,8,2
2/21/2020,9,1
2/22/2020,8,2
2/23/2020,12,0
2/24/2020,13,1
2/25/2020,10,4
2/26/2020,7,2
2/27/2020,6,3
2/28/2020,8,2
2/29/2020,15,7
3/1/2020,11,4
3/2/2020,6,1
3/3/2020,7,4
3/4/2020,8,4
3/5/2020,8,3
3/6/2020,15,6
3/7/2020,20,3
3/8/2020,8,3
3/9/2020,9,3
3/10/2020,5,7
3/11/2020,6,7
3/12/2020,6,8
3/13/2020,7,4
3/14/2020,11,4
3/15/2020,14,6
3/16/2020,6,2
3/17/2020,11,2
3/18/2020,9,4
3/19/2020,6,1
3/20/2020,11,1
3/21/2020,12,5
3/22/2020,3,7
3/23/2020,6,1
3/24/2020,6,2
3/25/2020,12,4
3/26/2020,3,5
3/27/2020,7,4
3/28/2020,8,1
3/29/2020,9,0
3/30/2020,22,0
3/31/2020,7,2
4/1/2020,12,3
4/2/2020,12,3
4/3/2020,6,3
4/4/2020,4,3
4/5/2020,10,4
4/6/2020,8,5
4/7/2020,9,0
4/8/2020,9,6
4/9/2020,7,2
4/10/2020,6,5
4/11/2020,6,2
4/12/2020,10,3
4/13/2020,7,5
4/14/2020,11,2
4/15/2020,10,4
4/16/2020,4,0
4/17/2020,6,2
4/18/2020,8,1
4/19/2020,10,5
4/20/2020,4,2
4/21/2020,6,2
4/22/2020,5,3
4/23/2020,10,3
4/24/2020,10,4
4/25/2020,9,1
4/26/2020,5,1
4/27/2020,7,3
4/28/2020,10,2
4/29/2020,6,7
4/30/2020,10,3
5/1/2020,13,4
5/2/2020,10,5
5/3/2020,10,5
5/4/2020,9,2
5/5/2020,12,2
5/6/2020,7,1
5/7/2020,9,5
5/8/2020,6,6
5/9/2020,3,3
5/10/2020,12,2
5/11/2020,3,2
5/12/2020,9,0
5/13/2020,6,3
5/14/2020,4,5
5/15/2020,4,7
5/16/2020,8,3
5/17/2020,6,3
5/18/2020,8,4
5/19/2020,8,2
5/20/2020,4,4
5/21/2020,5,9
5/22/2020,8,3
5/23/2020,9,3
5/24/2020,9,3
5/25/2020,6,1
5/26/2020,4,0
5/27/2020,8,1
5/28/2020,9,4
5/29/2020,8,4
5/30/2020,10,3
5/31/2020,40,0
6/1/2020,22,3
6/2/2020,14,3
6/3/2020,10,5
6/4/2020,12,10
6/5/2020,14,2
6/6/2020,4,3
6/7/2020,11,3
6/8/2020,6,2
6/9/2020,3,4
6/10/2020,8,6
6/11/2020,6,5
6/12/2020,14,6
6/13/2020,13,7
6/14/2020,11,7
6/15/2020,14,4
6/16/2020,9,4
6/17/2020,17,4
6/18/2020,13,6
6/19/2020,10,7
6/20/2020,14,5
6/21/2020,10,5
6/22/2020,15,4
6/23/2020,12,4
6/24/2020,10,3
6/25/2020,6,9
6/26/2020,13,0
6/27/2020,8,11
6/28/2020,9,2
6/29/2020,10,2
6/30/2020,5,7
7/1/2020,8,8
7/2/2020,8,11
7/3/2020,12,7
7/4/2020,13,7
7/5/2020,18,2
7/6/2020,11,4
7/7/2020,10,4
7/8/2020,13,8
7/9/2020,8,5
7/10/2020,8,6
7/11/2020,10,6
7/12/2020,14,5
7/13/2020,6,3
7/14/2020,10,4
7/15/2020,19,10
7/16/2020,6,4
7/17/2020,14,9
7/18/2020,14,3
7/19/2020,11,6
7/20/2020,5,7
7/21/2020,19,7
7/22/2020,8,8
7/23/2020,7,6
7/24/2020,10,4
7/25/2020,8,5
7/26/2020,7,1
7/27/2020,8,2
7/28/2020,2,2
7/29/2020,10,6
7/30/2020,11,2
7/31/2020,11,13
8/1/2020,13,7
8/2/2020,9,6
8/3/2020,19,8
8/4/2020,11,7
8/5/2020,12,5
8/6/2020,15,3
8/7/2020,9,6
8/8/2020,12,3
8/9/2020,12,1
8/10/2020,15,11
8/11/2020,10,2
8/12/2020,5,3
8/13/2020,8,4
8/14/2020,9,8
8/15/2020,10,4
8/16/2020,9,1
8/17/2020,4,6
8/18/2020,14,5
8/19/2020,14,6
8/20/2020,7,7
8/21/2020,7,3
8/22/2020,4,3
8/23/2020,6,3
8/24/2020,10,5
8/25/2020,10,4
8/26/2020,10,4
8/27/2020,10,4
8/28/2020,8,3
8/29/2020,11,7
8/30/2020,9,6
8/31/2020,10,4
9/1/2020,17,3
9/2/2020,9,2
9/3/2020,12,3
9/4/2020,14,4
9/5/2020,12,3
9/6/2020,11,4
9/7/2020,12,4
9/8/2020,3,4
9/9/2020,7,5
9/10/2020,10,4
9/11/2020,10,8
9/12/2020,9,2
9/13/2020,12,5
9/14/2020,7,4
9/15/2020,7,8
9/16/2020,9,4
9/17/2020,12,2
9/18/2020,4,9
9/19/2020,7,4
9/20/2020,10,4
9/21/2020,6,4
9/22/2020,6,3
9/23/2020,12,7
9/24/2020,10,2
9/25/2020,16,5
9/26/2020,16,1
9/27/2020,14,4
9/28/2020,4,6
9/29/2020,9,4
9/30/2020,8,6
10/1/2020,12,2
10/2/2020,12,7
10/3/2020,10,6
10/4/2020,8,5
10/5/2020,8,1
10/6/2020,8,2
10/7/2020,7,8
10/8/2020,12,2
10/9/2020,8,7
10/10/2020,14,3
10/11/2020,9,2
10/12/2020,7,2
10/13/2020,7,2
10/14/2020,8,7
10/15/2020,10,3
10/16/2020,9,5
10/17/2020,15,7
10/18/2020,7,6
10/19/2020,8,3
10/20/2020,8,4
10/21/2020,6,7
10/22/2020,7,5
10/23/2020,10,5
10/24/2020,8,5
10/25/2020,8,2
10/26/2020,11,4
10/27/2020,6,2
10/28/2020,7,3
10/29/2020,5,6
10/30/2020,4,3
10/31/2020,11,4
11/1/2020,12,2
11/2/2020,8,5
11/3/2020,4,4
11/4/2020,16,4
11/5/2020,13,5
11/6/2020,11,3
11/7/2020,11,4
11/8/2020,8,3
11/9/2020,14,3
11/10/2020,5,2
11/11/2020,10,4
11/12/2020,9,5
11/13/2020,10,3
11/14/2020,15,3
11/15/2020,10,6
11/16/2020,9,2
11/17/2020,7,4
11/18/2020,10,2
11/19/2020,11,2
11/20/2020,7,3
11/21/2020,7,4
11/22/2020,5,4
11/23/2020,4,8
11/24/2020,10,4
11/25/2020,9,5
11/26/2020,7,6
11/27/2020,14,4
11/28/2020,7,4
11/29/2020,9,6
11/30/2020,7,2
12/1/2020,13,2
12/2/2020,11,8
12/3/2020,9,6
12/4/2020,5,5
12/5/2020,2,5
12/6/2020,8,3
12/7/2020,8,5
12/8/2020,10,3
12/9/2020,2,0
12/10/2020,8,8
12/11/2020,5,5
12/12/2020,7,6
12/13/2020,7,7
12/14/2020,4,1
12/15/2020,4,5
12/16/2020,13,4
12/17/2020,8,5
12/18/2020,20,3
12/19/2020,11,1
12/20/2020,12,6
12/21/2020,11,4
12/22/2020,6,5
12/23/2020,9,4
12/24/2020,10,2
12/25/2020,10,5
12/26/2020,15,2
12/27/2020,10,3
12/28/2020,7,6
12/29/2020,9,7
12/30/2020,14,3
12/31/2020,22,6
1/1/2021,9,4
1/2/2021,11,2
1/3/2021,6,5
1/4/2021,3,3
1/5/2021,5,4
1/6/2021,4,6
1/7/2021,11,3
1/8/2021,8,2
1/9/2021,7,8
1/10/2021,6,4
1/11/2021,13,4
1/12/2021,5,2
1/13/2021,7,4
1/14/2021,2,4
1/15/2021,11,2
1/16/2021,8,3
1/17/2021,3,4
1/18/2021,6,3
1/19/2021,3,4
1/20/2021,5,3
1/21/2021,4,1
1/22/2021,9,4
1/23/2021,8,5
1/24/2021,9,3
1/25/2021,5,6
1/26/2021,5,6
1/27/2021,4,4
1/28/2021,3,2
1/29/2021,10,4
1/30/2021,4,5
1/31/2021,3,4
2/1/2021,4,4
2/2/2021,4,3
2/3/2021,10,3
2/4/2021,3,5
2/5/2021,5,6
2/6/2021,8,6
2/7/2021,10,5
2/8/2021,6,3
2/9/2021,5,5
2/10/2021,6,3
2/11/2021,2,5
2/12/2021,15,4
2/13/2021,15,7
2/14/2021,8,5
2/15/2021,10,6
2/16/2021,5,1
2/17/2021,9,8
2/18/2021,6,3
2/19/2021,6,5
2/20/2021,10,6
2/21/2021,3,5
2/22/2021,8,2
2/23/2021,5,1
2/24/2021,2,3
2/25/2021,7,7
2/26/2021,10,4
2/27/2021,7,2
2/28/2021,11,3
3/1/2021,7,1
3/2/2021,11,5
3/3/2021,7,4
3/4/2021,4,3
3/5/2021,7,6
3/6/2021,5,3
3/7/2021,4,3
3/8/2021,6,5
3/9/2021,5,2
3/10/2021,10,6
3/11/2021,8,4
3/12/2021,12,1
3/13/2021,8,3
3/14/2021,12,3
3/15/2021,7,4
3/16/2021,8,3
3/17/2021,11,2
3/18/2021,7,6
3/19/2021,4,4
3/20/2021,10,4
3/21/2021,6,6
3/22/2021,15,5
3/23/2021,1,7
3/24/2021,6,4
3/25/2021,9,3
3/26/2021,9,7
3/27/2021,11,2
3/28/2021,7,2
3/29/2021,3,2
3/30/2021,6,3
3/31/2021,7,6
4/1/2021,3,3
4/2/2021,14,7
4/3/2021,12,5
4/4/2021,2,0
4/5/2021,12,4
4/6/2021,8,5
4/7/2021,15,3
4/8/2021,13,4
4/9/2021,13,2
4/10/2021,12,4
4/11/2021,11,4
4/12/2021,7,3
4/13/2021,10,7
4/14/2021,14,6
4/15/2021,11,6
4/16/2021,8,3
4/17/2021,13,3
4/18/2021,13,8
4/19/2021,12,5
4/20/2021,17,6
4/21/2021,7,6
4/22/2021,1,7
4/23/2021,4,8
4/24/2021,14,4
4/25/2021,17,3
4/26/2021,10,6
4/27/2021,10,4
4/28/2021,9,1
4/29/2021,7,3
4/30/2021,9,3
5/1/2021,8,6
5/2/2021,6,2
5/3/2021,6,6
5/4/2021,9,4
5/5/2021,8,5
5/6/2021,9,9
5/7/2021,12,2
5/8/2021,8,10
5/9/2021,11,9
5/10/2021,10,4
5/11/2021,10,4
5/12/2021,14,4
5/13/2021,10,4
5/14/2021,9,2
5/15/2021,17,6
5/16/2021,10,5
5/17/2021,8,8
5/18/2021,15,5
5/19/2021,9,8
5/20/2021,8,11
5/21/2021,10,4
5/22/2021,10,7
5/23/2021,9,5
5/24/2021,12,9
5/25/2021,15,0
5/26/2021,15,8
5/27/2021,8,6
5/28/2021,10,3
5/29/2021,9,0
5/30/2021,6,6
5/31/2021,10,7
6/1/2021,12,8
6/2/2021,15,6
6/3/2021,10,5
6/4/2021,7,6
6/5/2021,16,6
6/6/2021,9,4
6/7/2021,10,3
6/8/2021,9,6
6/9/2021,4,0
6/10/2021,5,1
6/11/2021,16,7
6/12/2021,8,4
6/13/2021,4,8
6/14/2021,15,3
6/15/2021,13,6
6/16/2021,15,7
6/17/2021,19,3
6/18/2021,6,8
6/19/2021,5,10
6/20/2021,7,12
6/21/2021,9,1
6/22/2021,10,4
6/23/2021,10,6
6/24/2021,8,10
